periodo;regiao;local;rede;ensino;serie;resultado;rendimento
2010;Norte;Rural;Estadual;Fundamental;1s;Aprovado;74,9
2010;Norte;Rural;Federal;Fundamental;1s;Aprovado;
2010;Norte;Rural;Municipal;Fundamental;1s;Aprovado;78,1
2010;Norte;Rural;Particular;Fundamental;1s;Aprovado;89,9
2010;Norte;Rural;Publico;Fundamental;1s;Aprovado;77,8
2010;Norte;Rural;Total;Fundamental;1s;Aprovado;77,8
2010;Norte;Total;Estadual;Fundamental;1s;Aprovado;86,7
2010;Norte;Total;Federal;Fundamental;1s;Aprovado;99
2010;Norte;Total;Municipal;Fundamental;1s;Aprovado;80,5
2010;Norte;Total;Particular;Fundamental;1s;Aprovado;97,2
2010;Norte;Total;Publico;Fundamental;1s;Aprovado;81,8
2010;Norte;Total;Total;Fundamental;1s;Aprovado;82,6
2010;Norte;Urbana;Estadual;Fundamental;1s;Aprovado;88,7
2010;Norte;Urbana;Federal;Fundamental;1s;Aprovado;99
2010;Norte;Urbana;Municipal;Fundamental;1s;Aprovado;82,4
2010;Norte;Urbana;Particular;Fundamental;1s;Aprovado;97,3
2010;Norte;Urbana;Publico;Fundamental;1s;Aprovado;84,2
2010;Norte;Urbana;Total;Fundamental;1s;Aprovado;85,3
2010;Nordeste;Rural;Estadual;Fundamental;1s;Aprovado;81,7
2010;Nordeste;Rural;Federal;Fundamental;1s;Aprovado;100
2010;Nordeste;Rural;Municipal;Fundamental;1s;Aprovado;83,1
2010;Nordeste;Rural;Particular;Fundamental;1s;Aprovado;90,8
2010;Nordeste;Rural;Publico;Fundamental;1s;Aprovado;83,1
2010;Nordeste;Rural;Total;Fundamental;1s;Aprovado;83,1
2010;Nordeste;Total;Estadual;Fundamental;1s;Aprovado;82,4
2010;Nordeste;Total;Federal;Fundamental;1s;Aprovado;98,6
2010;Nordeste;Total;Municipal;Fundamental;1s;Aprovado;84,5
2010;Nordeste;Total;Particular;Fundamental;1s;Aprovado;96,9
2010;Nordeste;Total;Publico;Fundamental;1s;Aprovado;84,3
2010;Nordeste;Total;Total;Fundamental;1s;Aprovado;86,1
2010;Nordeste;Urbana;Estadual;Fundamental;1s;Aprovado;82,5
2010;Nordeste;Urbana;Federal;Fundamental;1s;Aprovado;98,5
2010;Nordeste;Urbana;Municipal;Fundamental;1s;Aprovado;85,4
2010;Nordeste;Urbana;Particular;Fundamental;1s;Aprovado;97
2010;Nordeste;Urbana;Publico;Fundamental;1s;Aprovado;85,1
2010;Nordeste;Urbana;Total;Fundamental;1s;Aprovado;87,6
2010;Sudeste;Rural;Estadual;Fundamental;1s;Aprovado;97,3
2010;Sudeste;Rural;Federal;Fundamental;1s;Aprovado;
2010;Sudeste;Rural;Municipal;Fundamental;1s;Aprovado;87,2
2010;Sudeste;Rural;Particular;Fundamental;1s;Aprovado;95,9
2010;Sudeste;Rural;Publico;Fundamental;1s;Aprovado;88,2
2010;Sudeste;Rural;Total;Fundamental;1s;Aprovado;88,3
2010;Sudeste;Total;Estadual;Fundamental;1s;Aprovado;98,4
2010;Sudeste;Total;Federal;Fundamental;1s;Aprovado;93,3
