Periodo;Ano;Meses;Cidade;Dias30;IND;CONST;COMERCIO;SERVICOS;MASCULINO;FEMININO;CHEFES
jan/91;1991;janeiro;BH;5,2;6,6;5,3;6,3;3;4,7;4,9;2,3
fev/91;1991;fevereiro;BH;5,5;7,3;6,5;5,2;3,6;5,1;4,9;2,9
mar/91;1991;março;BH;5,6;7,1;7,6;5,1;3,6;5,4;4,6;2,8
abr/91;1991;abril;BH;4,8;5,3;6,6;4,3;3,6;4,6;4,3;2,7
mai/91;1991;maio;BH;5,1;6,2;5,4;5,7;3,2;4,5;4,8;2,4
jun/91;1991;junho;BH;4,7;5,5;4,7;5,1;3;4;4,8;1,9
jul/91;1991;julho;BH;3,4;3,5;4;3,8;2,6;3;3,4;1,6
ago/91;1991;agosto;BH;4;4,5;3,7;5,5;2,7;3,2;4,4;1,9
set/91;1991;setembro;BH;4,1;4;4,4;3,4;3,1;3,5;3,8;2
out/91;1991;outubro;BH;4,1;4,8;5;4,2;2,7;3,6;3,9;1,9
nov/91;1991;novembro;BH;4,1;3,9;4,3;4,3;3,1;3,5;4,1;2,1
dez/91;1991;dezembro;BH;3,6;4,5;3,8;3,4;2,4;3,1;3,2;1,8
jan/92;1992;janeiro;BH;4,2;5,3;6,2;4,6;2,6;4;3,9;2
fev/92;1992;fevereiro;BH;6,3;6,5;7,8;6,1;4,7;5,9;5,6;3,3
mar/92;1992;março;BH;5,7;6,1;7,1;5,9;3,7;4,9;5,4;2,8
abr/92;1992;abril;BH;6,2;6,9;9,3;7,2;3,7;5,6;5,5;2,7
mai/92;1992;maio;BH;6;6,4;7,5;7,4;4;5;6,8;3,2
jun/92;1992;junho;BH;3,9;6,3;5;8,9;3,9;1;5,6;2,1
jul/92;1992;julho;BH;4;4,9;4,6;7,8;3;0,2;5,3;2,1
ago/92;1992;agosto;BH;4,8;4,8;5,2;4,8;3,9;4,2;5,1;2,4
set/92;1992;setembro;BH;4,7;4,6;6,2;3,7;3,9;3,9;5;2,2
out/92;1992;outubro;BH;4,9;4,8;5,6;5,6;3,5;3,9;5,2;2,2
nov/92;1992;novembro;BH;5,1;4,1;6,3;5;4,2;4,2;5,3;2,4
dez/92;1992;dezembro;BH;4,4;4,4;6;3,4;3,1;3,8;4,3;2
jan/93;1993;janeiro;BH;5,5;4,8;6,6;4,4;4,3;4,8;5,8;3
fev/93;1993;fevereiro;BH;5,9;5,3;7,7;4,9;4,2;5,2;5,7;2,7
